Year,Municipality,Math_grade_rate_result,Other Parties,The Centre Party,The Christian Democratic Party,The Green Party,The Left Party,The Liberal Party,The Moderate Party,The Social Democratic Party,The Sweden Democrats,Average_income,Income_inequality,Lower_education_percentage,Higher_education_percentage,Higher_to_lower_education_ratio,education_share,Population,Population_growth_rate
2020,Älvdalen,95.2,8.57,31.43,0.0,0.0,2.86,2.86,8.57,31.43,14.29,7.8,347.6,7.38,8.15,1.104,573.07,7029.0,-0.0007108330963889679
2021,Avesta,74.3,0.0,7.32,2.44,0.0,4.88,2.44,21.95,46.34,14.63,7.4,356.6,8.57,9.28,1.0824,2128.09,23100.0,0.007457804527018186
2021,Borlänge,86.4,1.64,8.2,4.92,3.28,8.2,4.92,19.67,32.79,16.39,7.4,354.9,9.98,12.08,1.2112,6314.1,52439.0,0.003425181783390739
2021,Falun,90.6,1.64,16.39,4.92,4.92,11.48,3.28,19.67,27.87,9.84,6.8,390.8,11.61,19.15,1.6502,11451.12,59537.0,-0.00419816685622533
2021,Gagnef,96.4,14.29,25.71,11.43,2.86,2.86,2.86,11.43,22.86,5.71,6.7,381.0,9.71,11.73,1.208,1231.1,10376.0,-0.011527102981804324
2021,Hedemora,83.5,12.2,14.63,2.44,2.44,4.88,2.44,17.07,29.27,14.63,8.1,369.7,9.23,10.01,1.0849,1546.09,15423.0,-0.0014890586559627088
2021,Leksand,89.0,6.12,30.61,8.16,0.0,8.16,2.04,16.33,20.41,8.16,7.4,417.5,11.32,15.12,1.3359,2422.11,15782.0,-0.014487323591857126
2021,Ludvika,87.1,2.22,8.89,2.22,4.44,8.89,2.22,22.22,33.33,15.56,7.1,350.8,8.75,12.15,1.3887,3219.09,26666.0,0.006340101139708657
2021,Malung-Sälen,90.0,2.56,7.69,0.0,0.0,5.13,5.13,20.51,41.03,17.95,7.1,399.3,8.64,9.23,1.0683,938.09,10112.0,-0.0046264396101978545
2021,Mora,87.9,14.63,29.27,4.88,2.44,4.88,0.0,9.76,24.39,9.76,6.6,380.2,10.24,13.23,1.2915,2725.1,20490.0,-0.005484638159491336
2021,Orsa,79.4,0.0,41.94,6.45,3.23,6.45,0.0,6.45,25.81,9.68,8.7,351.6,9.14,10.99,1.2022,761.09,6898.0,-0.0040427375108287615
2021,Rättvik,88.7,0.0,33.33,5.13,0.0,5.13,0.0,15.38,25.64,15.38,7.7,385.6,10.4,11.53,1.1093,1279.1,11028.0,-0.005500946884299756
2021,Smedjebacken,92.2,0.0,11.43,0.0,2.86,5.71,2.86,14.29,48.57,14.29,6.4,372.0,8.68,9.76,1.1243,1067.09,10842.0,-0.00850480109739369
2021,Säter,88.0,0.0,22.86,2.86,2.86,5.71,2.86,20.0,31.43,11.43,6.3,389.5,10.04,12.06,1.2014,1354.1,11147.0,-0.0071256791662955375
2021,Vansbro,85.7,16.13,25.81,12.9,0.0,6.45,0.0,9.68,25.81,3.23,6.9,360.7,7.64,8.01,1.0484,542.08,6807.0,0.0063571850975754
2021,Älvdalen,87.0,8.57,31.43,0.0,0.0,2.86,2.86,8.57,31.43,14.29,8.3,353.9,7.71,8.32,1.0793,585.08,7034.0,0.0007113387395077536
2022,Avesta,87.3,0.0,7.32,4.88,0.0,4.88,0.0,21.95,43.9,17.07,6.7,350.5,8.82,9.58,1.0866,2196.09,22929.0,0.00013085579691180318
2022,Borlänge,83.7,0.0,8.2,6.56,3.28,6.56,4.92,18.03,34.43,18.03,7.3,342.2,10.28,12.39,1.2056,6468.1,52260.0,0.00099601593625498
2022,Falun,92.2,0.0,11.48,6.56,4.92,8.2,4.92,19.67,32.79,11.48,6.0,379.2,11.79,19.57,1.66,11713.12,59788.0,-0.0011193718152201152
2022,Gagnef,91.0,8.57,20.0,17.14,2.86,5.71,2.86,11.43,20.0,11.43,6.4,360.1,10.13,12.11,1.1959,1270.1,10497.0,0.0009535615523982073
2022,Hedemora,89.1,11.43,11.43,2.86,2.86,5.71,0.0,22.86,25.71,17.14,7.2,342.8,9.49,10.3,1.0853,1591.09,15446.0,0.0003238132245320899
2022,Leksand,84.3,19.51,12.2,7.32,2.44,12.2,2.44,14.63,19.51,9.76,6.5,389.2,11.46,15.64,1.3642,2521.11,16014.0,-0.0065140517401823935
2022,Ludvika,84.5,2.22,8.89,4.44,4.44,8.89,2.22,22.22,31.11,15.56,6.6,338.7,9.08,12.5,1.3767,3293.09,26498.0,0.005883916030824127
2022,Malung-Sälen,93.3,10.26,5.13,0.0,0.0,5.13,2.56,25.64,35.9,15.38,6.9,389.2,8.95,9.44,1.0547,964.09,10159.0,-0.00548213411649535
2022,Mora,85.1,19.51,21.95,4.88,0.0,4.88,0.0,12.2,24.39,12.2,6.3,369.8,10.34,13.42,1.2976,2773.1,20603.0,-0.0031931878658861094
2022,Orsa,92.6,0.0,35.48,6.45,3.23,6.45,0.0,9.68,22.58,16.13,7.5,335.8,9.53,11.15,1.1697,772.1,6926.0,0.0
2022,Rättvik,90.1,0.0,25.64,7.69,0.0,2.56,0.0,17.95,28.21,17.95,6.8,358.1,10.5,11.82,1.1256,1317.11,11089.0,-0.004399353564374214
2022,Smedjebacken,92.9,0.0,5.71,0.0,2.86,2.86,0.0,14.29,57.14,17.14,5.8,357.1,8.86,10.07,1.1371,1103.09,10935.0,-0.0016433853738701725
2022,Säter,85.1,0.0,14.29,5.71,2.86,5.71,2.86,20.0,34.29,14.29,6.0,359.5,10.15,12.39,1.2205,1395.1,11227.0,-0.003196306490277901
2022,Vansbro,72.0,0.0,19.35,19.35,0.0,6.45,0.0,19.35,25.81,9.68,6.7,371.6,7.82,8.41,1.0753,571.08,6764.0,-0.0035356511490866236
2022,Älvdalen,82.7,5.71,28.57,0.0,0.0,2.86,0.0,11.43,28.57,22.86,7.4,344.8,7.9,8.53,1.0794,598.08,7029.0,0.0024244152880775814
2023,Avesta,81.9,0.0,7.32,4.88,0.0,4.88,0.0,21.95,43.9,17.07,7.8,339.0,8.91,9.71,1.0906,2216.09,22926.0,0.0049533160917021
2023,Borlänge,85.0,0.0,8.2,6.56,3.28,6.56,4.92,18.03,34.43,18.03,7.9,334.0,10.49,12.69,1.2099,6572.1,52208.0,0.008382585853903503
2023,Falun,90.2,0.0,11.48,6.56,4.92,8.2,4.92,19.67,32.79,11.48,6.9,362.5,11.7,19.96,1.7063,11968.12,59855.0,-0.0018843383137673426
2023,Gagnef,91.5,8.57,20.0,17.14,2.86,5.71,2.86,11.43,20.0,11.43,7.0,355.2,10.1,12.3,1.2182,1284.1,10487.0,0.004694385897681549
2023,Hedemora,82.6,11.43,11.43,2.86,2.86,5.71,0.0,22.86,25.71,17.14,8.5,335.4,9.7,10.49,1.0814,1608.1,15441.0,0.006846635367762128
2023,Leksand,87.2,19.51,12.2,7.32,2.44,12.2,2.44,14.63,19.51,9.76,7.8,373.9,11.73,15.78,1.345,2538.12,16119.0,0.0023630371245569304
2023,Ludvika,85.5,2.22,8.89,4.44,4.44,8.89,2.22,22.22,31.11,15.56,7.3,338.0,9.11,13.05,1.4321,3447.09,26343.0,-0.002687968501552207
2023,Malung-Sälen,84.9,10.26,5.13,0.0,0.0,5.13,2.56,25.64,35.9,15.38,7.4,372.9,8.97,9.68,1.0787,987.09,10215.0,0.00186347587289133
2023,Mora,88.3,19.51,21.95,4.88,0.0,4.88,0.0,12.2,24.39,12.2,7.3,359.7,10.39,13.8,1.3276,2837.1,20669.0,0.005301556420233463
2023,Orsa,84.6,0.0,35.48,6.45,3.23,6.45,0.0,9.68,22.58,16.13,8.7,327.8,9.57,11.46,1.1979,793.1,6926.0,0.0008670520231213873
2023,Rättvik,88.6,0.0,25.64,7.69,0.0,2.56,0.0,17.95,28.21,17.95,8.2,347.3,10.8,12.06,1.117,1337.11,11138.0,0.005053239487457137
2023,Smedjebacken,92.2,0.0,5.71,0.0,2.86,2.86,0.0,14.29,57.14,17.14,6.9,356.3,9.09,10.31,1.1345,1130.09,10953.0,-0.0002738225629791895
2023,Säter,82.8,0.0,14.29,5.71,2.86,5.71,2.86,20.0,34.29,14.29,7.0,349.5,10.18,12.78,1.2548,1438.1,11263.0,0.0006218905472636816
2023,Vansbro,73.2,0.0,19.35,19.35,0.0,6.45,0.0,19.35,25.81,9.68,7.1,336.2,7.93,8.58,1.0824,578.08,6788.0,0.008019008019008018
2023,Älvdalen,87.8,5.71,28.57,0.0,0.0,2.86,0.0,11.43,28.57,22.86,7.8,340.5,7.94,8.81,1.1091,610.08,7012.0,0.012855698396648851
